name,standard,division,age,dob,gender,english,maths,chemistry
Madhuri,10,A,16,03/07/07,F,75,90,88
Manasi,10,B,15,12/01/07,F,78,89,89
Uma,9,A,15,02/07/08,F,75,88,75
Laxmi,8,C,16,03/11/09,F,80,75,76
Kuldip,8,A,16,22/02/09,M,75,89,90
Mayur,10,B,18,12/02/07,M,81,90,81
Murli,8,C,16,02/08/08,M,74,94,76
Aniket,9,A,15,12/08/09,M,69,78,73
Rushikesh,10,B,17,05/07/07,M,80,94,88
Radhika,8,C,15,25/08/09,F,66,88,81
Vinu,9,C,15,20/04/09,M,75,86,83
Harsha,8,A,15,16/06/09,F,88,90,79
Ranjeet,9,B,18,06/11/10,M,80,76,90
Subhash,10,A,18,29/12/07,M,69,73,76
Manoj,8,B,16,12/04/05,m,66,79,72
Seema,9,C,17,04/11/08,F,78,90,88
Amar,10,C,17,04/07/07,M,70,94,84
Sayli,9,B,17,16/07/08,F,77,87,87
Digmbar,8,A,16,06/01/09,M,80,83,86
Vivek,10,A,15,12/06/07,M,88,81,79
Mohini,8,C,16,03/09/09,F,74,86,89
Varsha,10,B,17,14/06/07,F,77,84,86
Shraddha,9,A,16,12/11/08,F,76,89,75
Suraj,8,A,17,04/06/09,M,69,90,77
Suraj,8,A,17,04/06/09,M,69,26,77
